FullyQualifiedClass,LineNumber,OchiaiScore,Rank
Calculator,28,0.500000,1
Calculator,50,0.500000,1
Calculator,35,0.500000,1
Calculator,18,0.500000,1
Calculator,10,0.458831,2
Calculator,27,0.353553,3
Calculator,49,0.353553,3
Calculator,60,0.000000,4
Calculator,41,0.000000,4
Calculator,40,0.000000,4
Calculator,64,0.000000,4
Calculator,42,0.000000,4
Calculator,22,0.000000,4
Calculator,44,0.000000,4
Calculator,68,0.000000,4
StringUtils,1,0.000000,4
StringUtils,11,0.000000,4
StringUtils,3,0.000000,4
StringUtils,4,0.000000,4
StringUtils,10,0.000000,4
StringUtils,6,0.000000,4
StringUtils,13,0.000000,4
StringUtils,14,0.000000,4
Calculator,72,0.000000,4
Calculator,30,0.000000,4
Calculator,52,0.000000,4
Calculator,56,0.000000,4
Calculator,13,0.000000,4
Calculator,39,0.000000,4
